Results from GCP instance in zome us-central1-a machine type e2-small intel Broadwell (Intel(R) Xeon(R) CPU @ 2.20GHz) 2GB RAM, ubuntu 20.04 LTS

(all core turbo frequency is 2.8GHz, which VM likely gets even if base frequency advertised to VM is 2.2GHz, see https://cloud.google.com/compute/docs/cpu-platforms#frequency_behavior)

hello!
data taken from 1000 iterations for each parameter setting. Times are reported in ns.
msg_len, num_servers, send_mean, send_stddev, pis_mean, pis_stddev, p1_mean, p1_stddev, read_mean, read_stddev, verify_mean, verify_stddev
100,7,18190.000000,2775.928094,718.000000,133.791278,4022.000000,400.523021,9295.000000,984.288155,13467.000000,3266.155502,
100,8,19528.000000,3776.286649,711.000000,117.691809,4160.000000,1216.180311,10383.000000,1812.189919,14580.000000,2164.538994,
100,9,20316.000000,2089.878375,716.000000,128.658307,4302.000000,663.127703,11239.000000,1474.279441,15610.000000,1512.601283,
100,10,21377.000000,1915.855242,714.000000,139.394899,4266.000000,331.470278,12053.000000,961.890042,16563.000000,1531.565800,
120,2,13949.000000,5773.125690,823.000000,277.329975,3708.000000,2271.158801,5070.000000,2706.776375,8263.000000,4891.403170,
120,3,14732.000000,4524.675475,755.000000,135.009392,3850.000000,2425.029705,6100.000000,2624.131771,9746.000000,4677.144485,
120,4,15853.000000,3170.637512,772.000000,753.604575,3905.000000,1055.168875,7467.000000,10552.211211,10241.000000,1831.560850,
120,5,17259.000000,3663.723425,798.000000,786.738835,3992.000000,875.118160,8201.000000,3047.861780,12081.000000,5846.638495,
120,6,18436.000000,4613.398353,756.000000,130.554942,3993.000000,695.217871,9179.000000,3458.020111,12853.000000,3019.525254,
120,7,19309.000000,4280.459287,749.000000,156.610788,4100.000000,505.687467,9950.000000,1150.390746,13928.000000,3636.293531,
120,8,20726.000000,6544.561299,747.000000,87.504783,4113.000000,674.301632,11029.000000,2579.568766,14708.000000,1808.724408,
120,9,21855.000000,7196.965350,748.000000,263.141173,4322.000000,717.038622,12010.000000,2333.539676,16419.000000,7416.664914,
120,10,22650.000000,2861.929982,742.000000,119.560223,4564.000000,7189.063196,13032.000000,3469.538196,17168.000000,1964.193917,
140,2,13301.000000,1158.767660,768.000000,36.763379,3560.000000,532.249914,5004.000000,778.732319,8014.000000,4042.077885,
140,3,14619.000000,2966.469354,756.000000,146.010325,3689.000000,557.960826,6050.000000,528.058164,9273.000000,1502.447817,
140,4,15807.000000,3477.737848,742.000000,109.777234,3786.000000,850.570475,7096.000000,686.142844,10030.000000,724.700685,
140,5,16937.000000,1261.781380,743.000000,100.931937,3855.000000,353.008581,8093.000000,497.458752,11428.000000,1210.349048,
140,6,18569.000000,5665.806129,741.000000,75.529829,3887.000000,355.584554,9280.000000,879.046233,12548.000000,1466.361224,
140,7,19390.000000,2225.978021,748.000000,131.207698,4078.000000,570.550933,10402.000000,2906.239997,13794.000000,2075.025800,
140,8,20571.000000,1723.208761,744.000000,70.021882,4068.000000,723.581492,11617.000000,4464.328868,14850.000000,1431.066609,
140,9,21886.000000,5907.145123,749.000000,111.890205,4269.000000,548.900107,12451.000000,1225.470571,16146.000000,1665.889120,
140,10,23032.000000,1397.140264,747.000000,80.313747,4267.000000,559.064827,13504.000000,2841.445702,16878.000000,935.330862,
160,2,13274.000000,1038.005766,785.000000,310.687686,3544.000000,551.976942,5019.000000,2341.729537,7925.000000,1725.226840,
160,3,14416.000000,884.127636,758.000000,87.703438,3661.000000,487.175235,6113.000000,635.009190,9152.000000,936.622930,
160,4,15828.000000,2148.040100,755.000000,84.189411,3787.000000,727.491405,7254.000000,771.488244,10122.000000,1396.327181,
160,5,17061.000000,1091.423159,748.000000,103.677071,3892.000000,653.588022,8332.000000,685.236440,11451.000000,1035.489518,
160,6,18286.000000,1160.266692,744.000000,86.827133,3867.000000,434.009473,9458.000000,663.882887,12460.000000,999.020174,
160,7,19592.000000,1819.528217,744.000000,63.918581,4057.000000,376.524189,10576.000000,1110.051866,13617.000000,973.655476,
160,8,21004.000000,2157.249381,761.000000,354.082404,4052.000000,613.148774,11737.000000,974.981268,14804.000000,1721.523122,
160,9,22483.000000,2478.676306,755.000000,220.853442,4371.000000,1582.755360,12970.000000,1993.787522,16164.000000,2313.510782,
160,10,23714.000000,1646.020232,743.000000,50.203775,4585.000000,6231.659504,14041.000000,1098.807944,17134.000000,2181.250476,
180,2,14204.000000,4662.849507,781.000000,250.135273,3627.000000,966.519448,5420.000000,1032.602607,8174.000000,943.792873,
180,3,15061.000000,1927.919028,743.000000,224.261892,3662.000000,421.139011,6464.000000,581.796265,9294.000000,792.766108,
180,4,16570.000000,4363.878364,735.000000,200.058841,3818.000000,943.256039,7847.000000,3051.503838,10363.000000,1437.328097,
180,5,17926.000000,2514.872195,734.000000,130.067263,3969.000000,2179.712497,8928.000000,895.076627,11616.000000,1099.567717,
180,6,19215.000000,3279.534528,746.000000,178.776332,3920.000000,733.915712,10193.000000,1238.442931,12788.000000,3312.414902,
180,7,20511.000000,2620.085009,727.000000,79.068401,4068.000000,526.803499,11263.000000,802.885504,13778.000000,1184.329013,
180,8,21650.000000,1285.020293,730.000000,59.232339,4040.000000,661.882492,12469.000000,1095.489045,14890.000000,3128.865307,
180,9,23228.000000,3034.490324,739.000000,129.005546,4263.000000,659.292138,13742.000000,1461.913664,16275.000000,2130.088757,
180,10,24762.000000,4266.302095,747.000000,227.969077,4315.000000,850.457525,15116.000000,3419.468936,17309.000000,1579.024436,
200,2,14056.000000,2235.911625,790.000000,75.642852,3630.000000,2354.362401,5492.000000,1245.969578,8162.000000,965.630667,
200,3,15242.000000,1135.699869,774.000000,248.489034,3738.000000,1123.142547,6712.000000,1288.866352,9455.000000,1073.565742,
200,4,16887.000000,2108.338189,808.000000,921.755413,3861.000000,911.206291,8010.000000,906.930617,10406.000000,1041.416314,
200,5,18166.000000,1494.732814,760.000000,89.488435,3913.000000,609.145814,9184.000000,841.965602,11725.000000,1170.968542,
200,6,19526.000000,1356.782090,758.000000,127.207531,3918.000000,623.313302,10434.000000,828.207062,12798.000000,1412.046743,
200,7,21358.000000,4185.002894,769.000000,183.148912,4193.000000,748.210519,11927.000000,2824.463364,14175.000000,1773.424607,
200,8,22700.000000,4533.917137,768.000000,209.470320,4176.000000,812.816747,13421.000000,6344.968785,15223.000000,1799.906713,
200,9,24984.000000,9928.941341,775.000000,256.034955,4469.000000,1758.264723,14565.000000,2777.211606,16898.000000,4599.489891,
200,10,25494.000000,6406.943845,748.000000,29.755285,4340.000000,755.358831,15566.000000,1651.790137,17448.000000,2227.326301,
220,2,14473.000000,6847.227863,827.000000,472.418073,3629.000000,704.267496,5552.000000,1051.031521,8216.000000,1159.638530,
220,3,15599.000000,2000.066051,778.000000,138.797208,3823.000000,2924.522315,7096.000000,7744.329983,9396.000000,929.124413,
220,4,17490.000000,8723.579812,775.000000,155.939097,3900.000000,1181.655614,8266.000000,1161.224164,10479.000000,1305.639781,
220,5,18450.000000,1600.579832,758.000000,55.271159,3890.000000,519.453071,9600.000000,2354.180825,11796.000000,1283.530245,
220,6,20121.000000,3332.107442,770.000000,165.186431,3959.000000,916.866733,10920.000000,1501.595792,13003.000000,3509.875773,
220,7,21490.000000,3820.287916,773.000000,253.936338,4088.000000,855.177658,12171.000000,1775.674415,14042.000000,1323.209082,
220,8,22879.000000,1604.646828,762.000000,88.487756,4076.000000,619.731532,13508.000000,1337.528972,15227.000000,3811.226374,
220,9,25006.000000,3868.526000,806.000000,506.138901,4500.000000,1695.014832,15365.000000,4378.355440,16829.000000,3710.529182,
220,10,26824.000000,6786.547162,792.000000,579.427624,4496.000000,2839.974878,16606.000000,5802.755786,17987.000000,5801.747577,
240,2,14040.000000,1081.918720,825.000000,453.306620,3531.000000,310.438767,5623.000000,656.756759,8277.000000,853.787518,
240,3,15670.000000,3464.871592,784.000000,201.461336,3663.000000,545.645091,7031.000000,576.582289,9590.000000,955.309239,
240,4,17342.000000,3064.844184,783.000000,237.127240,3759.000000,552.220947,8450.000000,907.617023,10596.000000,1274.398887,
240,5,18879.000000,1356.652802,776.000000,90.122966,3872.000000,438.037487,9832.000000,597.133904,12021.000000,1430.088475,
240,6,20474.000000,1787.598381,771.000000,62.383940,3884.000000,533.429600,11310.000000,1187.829244,13135.000000,2414.115345,
240,7,22132.000000,4008.637993,774.000000,64.613358,4087.000000,515.921736,12797.000000,2722.815750,14404.000000,1526.781251,
240,8,23505.000000,1500.237647,775.000000,70.300000,4056.000000,668.862022,14034.000000,920.032907,15399.000000,1980.386024,
240,9,25498.000000,2883.926659,789.000000,157.206412,4321.000000,668.311501,15917.000000,5923.992439,17014.000000,2525.336110,
240,10,26932.000000,4751.904913,786.000000,201.146288,4286.000000,680.127201,16992.000000,1306.303536,18014.000000,3099.356636,
260,2,14418.000000,2288.734648,798.000000,375.305341,3625.000000,1073.023113,5930.000000,2701.752213,8347.000000,1262.831619,
260,3,15839.000000,1515.501576,766.000000,135.030834,3669.000000,487.695200,7260.000000,979.891083,9505.000000,1014.444184,
260,4,17609.000000,3138.920904,761.000000,174.214428,3858.000000,1454.841002,8793.000000,2119.127362,10504.000000,1226.505130,
260,5,19366.000000,3627.149561,759.000000,178.786736,3966.000000,901.361294,10491.000000,6361.410669,12291.000000,4097.272047,
260,6,20725.000000,4254.304781,740.000000,119.625248,3853.000000,422.860937,11629.000000,909.634501,12915.000000,1688.687667,
260,7,22327.000000,1399.865216,752.000000,119.427723,4095.000000,652.016559,13119.000000,1109.282024,14210.000000,1707.749584,
260,8,24200.000000,2773.122505,772.000000,470.617106,4156.000000,1540.311863,14791.000000,2474.887212,15566.000000,3960.075969,
260,9,25654.000000,1531.422299,748.000000,95.091488,4277.000000,507.111201,16099.000000,1166.131257,16545.000000,4046.216287,
260,10,27448.000000,2452.894039,763.000000,503.851555,4298.000000,841.290989,17660.000000,3014.674205,17623.000000,1855.351095,
280,2,14518.000000,2696.998410,815.000000,201.465305,3594.000000,678.832194,5923.000000,812.068013,8575.000000,3594.326896,
280,3,16024.000000,1544.721173,792.000000,480.195043,3697.000000,663.635465,7409.000000,1120.864675,9583.000000,1023.657127,
280,4,17991.000000,3714.557159,788.000000,328.529439,3948.000000,2165.770005,9096.000000,1528.906747,10663.000000,2360.529390,
280,5,19600.000000,2705.799066,784.000000,313.126019,4193.000000,6224.160857,10540.000000,959.679476,12058.000000,1439.559279,
280,6,21248.000000,2671.953324,780.000000,123.946908,3958.000000,1819.197434,12113.000000,2128.727551,13178.000000,2791.588010,
280,7,23663.000000,8458.720176,774.000000,85.835243,4189.000000,1008.855524,14001.000000,5637.928794,14722.000000,3895.105685,
280,8,24699.000000,3578.364804,767.000000,100.219379,4066.000000,566.500276,15121.000000,2712.273850,15333.000000,2237.985338,
280,9,27038.000000,7968.158428,775.000000,123.691475,4371.000000,849.611337,16894.000000,3607.828219,16856.000000,2242.883538,
280,10,29102.000000,9592.142623,784.000000,135.972626,4437.000000,1606.421220,18488.000000,3565.200586,18198.000000,5988.676934,
300,2,14950.000000,2339.159095,865.000000,673.353429,3598.000000,1029.479495,6357.000000,1740.850005,8719.000000,2909.399136,
300,3,16718.000000,3237.926922,813.000000,188.293763,3718.000000,720.736544,7837.000000,1065.026411,9907.000000,2519.594032,
300,4,18607.000000,2885.190087,811.000000,192.582180,3916.000000,1140.397672,9457.000000,901.886948,11105.000000,5356.795400,
300,5,21473.000000,8106.965061,822.000000,133.921824,4187.000000,2183.077179,11805.000000,4280.659122,12988.000000,4379.731757,
300,6,23480.000000,9465.579850,861.000000,708.829936,4283.000000,2991.779995,13607.000000,7711.035190,14410.000000,5761.270022,
300,7,24419.000000,6550.054452,803.000000,295.443660,4356.000000,600.508284,14713.000000,6633.498450,15077.000000,3529.195814,
300,8,25811.000000,3229.813453,788.000000,120.504021,4215.000000,2123.716084,16214.000000,5304.192997,15878.000000,2024.153670,
300,9,27311.000000,3368.019997,784.000000,103.498961,4286.000000,410.761831,17365.000000,1049.073500,16935.000000,1259.647078,
300,10,29340.000000,3435.896063,809.000000,341.593451,4340.000000,903.936371,19188.000000,2181.118632,18326.000000,3002.357089,
320,2,14667.000000,3141.416644,851.000000,115.696577,3608.000000,681.193620,6191.000000,668.306787,8530.000000,580.753518,
320,3,16593.000000,2876.924407,866.000000,1330.600751,5085.000000,44244.571307,8038.000000,3068.649498,10098.000000,2416.806853,
320,4,18822.000000,2549.138682,828.000000,195.057825,4194.000000,5478.126877,9919.000000,2166.750515,11508.000000,7478.348635,
320,5,21490.000000,7838.621128,845.000000,499.839952,4107.000000,1125.761839,11609.000000,2626.518300,12887.000000,4481.773434,
320,6,22512.000000,3315.091498,811.000000,168.159983,3963.000000,872.935845,13260.000000,5411.112513,13586.000000,4642.462673,
320,7,24594.000000,6897.055398,818.000000,463.940277,4310.000000,5502.625609,14634.000000,1302.214917,14912.000000,3788.212532,
