Run on 11th Gen Intel(R) Core(TM) i7-11700K @ 3.60G
Ubuntu 20.04 LTS

hello! These are the shared franking evaluation results.
data taken from 1000 iterations for each parameter setting. Times are reported in ns.
msg_len, num_servers, send_mean, send_stddev, pis_mean, pis_stddev, p1_mean, p1_stddev, read_mean, read_stddev, verify_mean, verify_stddev
100,10,7774.000000,100.574057,265.000000,3.204528,1868.000000,20.214722,10511.000000,128.049354,5355.000000,61.504699,
120,2,4596.000000,61.398151,289.000000,9.274912,1603.000000,56.206886,3131.000000,30.909723,2699.000000,61.196005,
120,3,5031.000000,50.679720,282.000000,22.300785,1626.000000,24.506407,4098.000000,46.169893,3072.000000,51.459674,
120,4,5500.000000,84.446977,274.000000,4.910499,1689.000000,22.581563,5095.000000,64.503837,3430.000000,48.292173,
120,5,5946.000000,93.688857,274.000000,9.254242,1723.000000,53.813130,6045.000000,56.167882,3772.000000,44.056747,
120,6,6404.000000,85.568633,278.000000,4.065710,1742.000000,21.110163,7036.000000,73.315592,4101.000000,59.465856,
120,7,6849.000000,199.963239,271.000000,3.663332,1774.000000,23.715944,7977.000000,98.554330,4419.000000,57.957579,
120,8,7344.000000,91.389890,275.000000,3.495712,1812.000000,22.619306,8973.000000,111.326129,4708.000000,74.424505,
120,9,7711.000000,106.725826,271.000000,6.821730,1845.000000,40.588052,9932.000000,111.324207,5044.000000,59.597508,
120,10,8136.000000,109.326163,275.000000,3.033974,1857.000000,21.620222,10906.000000,131.769059,5402.000000,49.472002,
140,2,4598.000000,40.030851,295.000000,9.759252,1611.000000,28.344559,3166.000000,29.439820,2716.000000,77.253220,
140,3,5071.000000,52.534284,290.000000,6.426041,1641.000000,25.905772,4198.000000,144.819439,3101.000000,36.047982,
140,4,5597.000000,75.137421,285.000000,11.964238,1699.000000,24.189316,5238.000000,58.866043,3445.000000,33.285012,
140,5,6085.000000,81.783036,279.000000,8.967162,1726.000000,22.112169,6192.000000,79.571729,3786.000000,63.983771,
140,6,6532.000000,90.558186,282.000000,8.063312,1755.000000,43.129456,7209.000000,83.709665,4090.000000,40.328923,
140,7,7056.000000,97.859660,276.000000,3.744596,1783.000000,42.357207,8199.000000,99.346173,4436.000000,43.833172,
140,8,7453.000000,115.721757,276.000000,3.356188,1832.000000,38.941199,9224.000000,116.240458,4753.000000,47.136854,
140,9,7914.000000,113.439640,276.000000,2.853769,1863.000000,24.710200,10217.000000,100.713480,5111.000000,87.176327,
140,10,8403.000000,90.305188,280.000000,3.313005,1876.000000,25.442602,11212.000000,130.076562,5421.000000,87.407683,
160,2,4619.000000,85.084869,294.000000,8.543126,1601.000000,29.497169,3188.000000,27.306959,2717.000000,34.638490,
160,3,5157.000000,70.468589,285.000000,6.954279,1654.000000,25.340718,4239.000000,65.529116,3094.000000,49.056467,
160,4,5645.000000,67.409183,279.000000,4.844481,1699.000000,24.453343,5279.000000,47.590902,3429.000000,67.981409,
160,5,6176.000000,77.908517,279.000000,4.376186,1725.000000,50.362039,6301.000000,67.044344,3787.000000,61.158769,
160,6,6616.000000,63.363965,277.000000,3.979447,1741.000000,24.985016,7344.000000,81.739323,4106.000000,64.168014,
160,7,7109.000000,87.789122,277.000000,3.502570,1775.000000,24.641773,8366.000000,109.341694,4468.000000,88.587753,
160,8,7591.000000,106.739941,277.000000,3.162436,1817.000000,46.456345,9420.000000,200.149077,4769.000000,61.047441,
160,9,8085.000000,88.169717,277.000000,3.330465,1848.000000,45.242646,10439.000000,105.500573,5128.000000,76.273803,
160,10,8567.000000,112.691845,277.000000,4.610640,1861.000000,42.190864,11474.000000,119.911455,5448.000000,61.622983,
180,2,4700.000000,111.823517,284.000000,9.016540,1608.000000,45.017919,3248.000000,57.097872,2729.000000,50.180903,
180,3,5248.000000,99.931066,278.000000,7.050603,1635.000000,61.232965,4317.000000,48.743082,3109.000000,38.481671,
180,4,5792.000000,97.591009,270.000000,5.449771,1673.000000,22.388368,5375.000000,48.956246,3442.000000,56.737113,
